Trial Order,.nDown,.staircase,.minVal,.stepType,.label,.stepSizes,.nUp,.startVal,.condition,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,actual_onset_time,actual_offset_time,intertrial_interval,prestimulus_period,stimulus_presentation_window,poststimulus_waiting_period,correct_answer,answer_choice_position,answer_choice,is_correct,RT,.response,wordlist,gender,date-run,hand,conditions,subject,,,
59,1,baseline,0.05,db,hard,4,1,2,Auditory,1,10,18,up,4,3.169786385,1.566666667,2.801250008,1,1,1,1,gold,up,gold,TRUE,668.9251509,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
22,1,baseline,0.05,db,easy,2,3,4,Environmental,0,1,1,start,2,4,1.616666667,2.613958315,1,1,1,1,ping pong,down,ping pong,TRUE,255.4363348,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
24,1,baseline,0.05,db,easy,2,3,4,Environmental,0,2,3,down,2,3.177312939,0.3,1.24029166,1,1,1,1,rock splashing into water,right,rock splashing into water,TRUE,275.116024,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
26,1,baseline,0.05,db,easy,2,3,4,Environmental,0,3,5,down,2,2.523829378,1.25,2.248895793,1,1,1,1,pig,right,pig,TRUE,293.9076898,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
27,1,baseline,0.05,db,easy,2,3,4,Environmental,0,4,6,down,2,2.004748935,0.116666667,1.115895858,1,1,1,1,rooster,left,rooster,TRUE,305.2035198,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
30,1,baseline,0.05,db,easy,2,3,4,Environmental,0,5,9,down,2,1.592428682,0.25,1.148583345,1,1,1,1,elephant,right,elephant,TRUE,335.355021,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
62,1,baseline,0.05,db,easy,2,3,4,Environmental,0,6,11,down,2,1.264911064,2.1,2.811791678,1,1,1,1,cat,right,printer,FALSE,730.8842659,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
63,1,baseline,0.05,db,easy,2,3,4,Environmental,0,7,12,up,2,1.592428682,1.933333333,2.933583318,1,1,1,1,owl,down,car horn,FALSE,741.3081808,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
65,1,baseline,0.05,db,easy,2,3,4,Environmental,0,8,14,up,2,1.592428682,1.616666667,2.583312541,1,1,1,1,fireworks,left,truck backing up,FALSE,763.6596448,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
68,1,baseline,0.05,db,easy,2,3,4,Environmental,0,9,17,up,2,1.592428682,1.666666667,2.666479186,1,1,1,1,train whistle,up,racecar,FALSE,793.962992,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
70,1,baseline,0.05,db,easy,2,3,4,Environmental,0,10,19,up,2,2.004748935,2.2,2.947479156,1,1,1,1,coin dropping,up,coin dropping,TRUE,815.6106348,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
21,1,baseline,0.05,db,hard,2,1,4,Environmental,1,1,0,start,2,4,0.7,1.368687517,1,1,1,1,ice in a glass,left,ice in a glass,TRUE,246.4525568,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
23,1,baseline,0.05,db,hard,2,1,4,Environmental,1,2,2,down,2,3.177312939,2,2.61439583,1,1,1,1,bird chirping,right,bird chirping,TRUE,264.6361959,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
25,1,baseline,0.05,db,hard,2,1,4,Environmental,1,3,4,down,2,2.523829378,1.383333333,2.383645819,1,1,1,1,wind chimes,left,wind chimes,TRUE,284.8838809,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
28,1,baseline,0.05,db,hard,2,1,4,Environmental,1,4,7,down,2,2.004748935,1.25,2.194541698,1,1,1,1,door knocker,right,door knocker,TRUE,315.5313199,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
29,1,baseline,0.05,db,hard,2,1,4,Environmental,1,5,8,down,2,1.592428682,1.133333333,2.134791658,1,1,1,1,tambourine,up,tambourine,TRUE,324.2912219,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
61,1,baseline,0.05,db,hard,2,1,4,Environmental,1,6,10,down,2,1.264911064,1.95,2.946749985,1,1,1,1,truck backing up,down,truck backing up,TRUE,721.0842888,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
64,1,baseline,0.05,db,hard,2,1,4,Environmental,1,7,13,down,2,1.004754573,1.25,1.926875001,1,1,1,1,cell phone,left,frog,FALSE,752.347774,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
66,1,baseline,0.05,db,hard,2,1,4,Environmental,1,8,15,up,2,1.264911064,0.233333333,0.877875004,1,1,1,1,car horn,right,fireworks,FALSE,774.5394988,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
67,1,baseline,0.05,db,hard,2,1,4,Environmental,1,9,16,up,2,1.592428682,0.933333333,1.755562493,1,1,1,1,turkeys,up,turkeys,TRUE,784.011317,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
69,1,baseline,0.05,db,hard,2,1,4,Environmental,1,10,18,down,2,1.264911064,0.55,1.212604179,1,1,1,1,cymbal,left,slot machine,FALSE,805.5787148,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
2,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,1,1,start,4,2,0.033333333,1.267916675,1,1,1,1,uwu,left,uwu,TRUE,56.19984388,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
3,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,2,2,down,4,1.261914689,0.233333333,1.234333306,1,1,1,1,oyo,up,opo,FALSE,67.04769993,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
6,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,3,5,up,4,2,1.616666667,2.550937544,1,1,1,1,uyu,left,uyu,TRUE,96.93506503,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
7,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,4,6,down,4,1.261914689,0.516666667,1.35083336,1,1,1,1,ese,left,ese,TRUE,106.150907,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
9,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,5,8,down,4,0.796214341,1.4,2.434375001,1,1,1,1,eme,right,ete,FALSE,125.4945638,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
71,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,6,10,down,4,0.796214341,1.583333333,2.3507708,1,1,1,1,ishi,left,ishi,TRUE,826.082474,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
74,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,7,13,down,4,0.502377286,0.05,0.884166694,1,1,1,1,ewe,left,ewe,TRUE,857.1941249,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
75,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,8,14,down,4,0.316978638,1.333333333,2.467812523,1,1,1,1,uchu,down,uchu,TRUE,867.233721,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
78,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,9,17,down,4,0.2,1.75,2.684270878,1,1,1,1,ana,left,ara,FALSE,898.225306,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
79,1,baseline,0.05,db,easy,4,3,2,Phoneme,0,10,18,down,4,0.2,0.216666667,1.38449998,1,1,1,1,owo,right,ocho,FALSE,908.657038,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
1,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,1,0,start,4,2,1.95,2.984375001,1,1,1,1,ufu,left,ufu,TRUE,47.03198481,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
4,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,2,3,down,4,1.261914689,0.4,1.400999973,1,1,1,1,oho,right,oho,TRUE,77.27143693,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
5,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,3,4,down,4,0.796214341,0.733333333,1.700979184,1,1,1,1,iki,left,iki,TRUE,87.07928586,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
8,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,4,7,down,4,0.502377286,1.116666667,1.984208307,1,1,1,1,eje,left,ege,FALSE,116.0787399,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
10,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,5,9,up,4,0.796214341,1.616666667,2.584312517,1,1,1,1,asa,right,asa,TRUE,135.1184719,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
72,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,6,11,down,4,0.502377286,0.233333333,1.200979184,1,1,1,1,asha,up,asha,TRUE,836.25841,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
73,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,7,12,down,4,0.316978638,0.016666667,0.85083336,1,1,1,1,oko,up,oro,FALSE,846.834064,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
76,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,8,15,up,4,0.502377286,1.016666667,1.817479182,1,1,1,1,ili,up,ili,TRUE,877.8655849,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
77,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,9,16,down,4,0.316978638,0.916666667,2.217979194,1,1,1,1,ulu,right,upu,FALSE,888.089479,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
80,1,baseline,0.05,db,hard,4,1,2,Phoneme,1,10,19,up,4,0.502377286,0.966666667,1.734104134,1,1,1,1,eke,right,ewe,FALSE,920.4328718,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
32,1,baseline,0.05,db,easy,4,3,1,Visual,0,1,1,start,4,1,0.733333333,1.467416659,1,1,1,1,top,up,top,TRUE,386.5621669,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
33,1,baseline,0.05,db,easy,4,3,1,Visual,0,2,2,down,4,0.630957344,1.116666667,2.351250008,1,1,1,1,yet,up,yet,TRUE,396.8819859,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
36,1,baseline,0.05,db,easy,4,3,1,Visual,0,3,5,down,4,0.398107171,0.883333333,2.051166647,1,1,1,1,best,left,pest,FALSE,426.8973589,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
38,1,baseline,0.05,db,easy,4,3,1,Visual,0,4,7,up,4,0.630957344,0.733333333,1.9345417,1,1,1,1,wild,up,wild,TRUE,446.4651299,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
40,1,baseline,0.05,db,easy,4,3,1,Visual,0,5,9,down,4,0.398107171,1.283333333,2.684749951,1,1,1,1,fin,down,fin,TRUE,467.0246809,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
41,1,baseline,0.05,db,easy,4,3,1,Visual,0,6,10,down,4,0.251188643,1.65,2.951312527,1,1,0,1,trace,down,trace,TRUE,477.624476,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
44,1,baseline,0.05,db,easy,4,3,1,Visual,0,7,13,down,4,0.158489319,1.816666667,2.884416654,1,1,1,1,pen,left,pen,TRUE,509.9999809,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
46,1,baseline,0.05,db,easy,4,3,1,Visual,0,8,15,down,4,0.1,1.4,2.434375001,1,1,1,1,snow,up,stow,FALSE,532.2316558,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
48,1,baseline,0.05,db,easy,4,3,1,Visual,0,9,17,down,4,0.1,1.15,2.184375001,1,1,1,1,terse,up,terse,TRUE,553.967309,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
49,1,baseline,0.05,db,easy,4,3,1,Visual,0,10,18,down,4,0.063095734,0.4,1.467749987,1,1,1,1,wore,left,wore,TRUE,565.0150959,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
31,1,baseline,0.05,db,hard,4,1,1,Visual,1,1,0,start,4,1,1.066666667,2.167770841,1,1,1,1,bee,left,bee,TRUE,375.4983089,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
34,1,baseline,0.05,db,hard,4,1,1,Visual,1,2,3,down,4,0.630957344,0.05,1.18447919,1,1,1,1,mild,left,mild,TRUE,406.785727,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
35,1,baseline,0.05,db,hard,4,1,1,Visual,1,3,4,down,4,0.398107171,0.416666667,1.484416654,1,1,1,1,pest,down,best,FALSE,417.9535649,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
37,1,baseline,0.05,db,hard,4,1,1,Visual,1,4,6,up,4,0.630957344,0.416666667,1.751333297,1,1,1,1,grade,left,trade,FALSE,437.529187,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
39,1,baseline,0.05,db,hard,4,1,1,Visual,1,5,8,up,4,1,0.816666667,1.98449998,1,1,1,1,chin,up,chin,TRUE,457.008919,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
42,1,baseline,0.05,db,hard,4,1,1,Visual,1,6,11,down,4,0.630957344,1.416666667,2.717979194,1,1,1,1,flaw,left,flaw,TRUE,487.2803838,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
43,1,baseline,0.05,db,hard,4,1,1,Visual,1,7,12,down,4,0.398107171,0.966666667,2.234604177,1,1,1,1,wine,left,wide,FALSE,499.736155,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
45,1,baseline,0.05,db,hard,4,1,1,Visual,1,8,14,up,4,0.630957344,0.15,1.384583342,1,1,1,1,bore,up,worn,FALSE,520.6318169,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
47,1,baseline,0.05,db,hard,4,1,1,Visual,1,9,16,up,4,1,1.5,2.868041695,1,1,1,1,bear,left,bear,TRUE,542.8554409,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
50,1,baseline,0.05,db,hard,4,1,1,Visual,1,10,19,down,4,0.630957344,0.7,1.667645851,1,1,1,1,den,down,ten,FALSE,576.3348529,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,
81,1,main,0.05,db,easy,4,3,0.063095734,Visual,0,1,0,start,4,1,1.1,2.334583342,1,1,1,1,seem,down,seem,TRUE,932.048677,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
